type,client,tx,amount
deposit,35522,1,6950.123482
dispute,35522,1,
resolve,35522,1,
dispute,35522,1,
deposit,1,2,10.0,extra
chargeback,35522,1,
chargeback,35522,1,
resolve,35522,1,
dispute,35522,1,
deposit,25919,2,3530.78545543
dispute,35522,1,
chargeback,25919,2,
withdrawal,64642,3,6165.0905
chargeback,25919,2,
chargeback,25919,2,
dispute,35522,1,
chargeback,64642,3,
withdrawal,62482,4,9512.44288510
deposit,37340,5,7972.670
dispute,25919,2,
chargeback,35522,1,
resolve,25919,2,
withdrawal,57148,6,4267.861
withdrawal,9419,7,8094.21788
randomtype,1,2,5.0
deposit,2243,8,1166.29577
withdrawal,28114,9,392.2511
withdrawal,24850,10,5408.1841357
resolve,64642,3,
resolve,24850,10,
dispute,35522,1,
withdrawal,12461,11,680.09
chargeback,25919,2,
deposit,64091,12,7376.67
deposit,1,2,-50.0
withdrawal,30214,13,3089.508972
resolve,28114,9,
chargeback,62482,4,
withdrawal,5147,14,5080.33
deposit,36496,15,7708.94
deposit
resolve,36496,15,
dispute,12461,11,
chargeback,62482,4,
withdrawal,54444,16,6631.7788294
dispute,24850,10,
dispute,25919,2,
deposit,31200,17,1017.79741
dispute,12461,11,
resolve,5147,14,
deposit,28826,18,9676.55
withdrawal,12451,19,9562.7805
chargeback,30214,13,
deposit,1879,20,1480.955
withdrawal,7721,21,2998.13108124
withdrawal,35005,22,7851.2200
chargeback,37340,5,
withdrawal,13805,23,7052.041289
resolve,12461,11,
chargeback,12461,11,
resolve,35005,22,
deposit,58612,24,4991.79727197
dispute,62482,4,
chargeback,31200,17,
withdrawal,63183,25,7736.105
chargeback,64091,12,
withdrawal,40490,26,9443.662939
deposit,60528,27,2138.39
deposit,49582,28,9741.8655365
chargeback,35005,22,
deposit,38195,29,4188.3930780
resolve,49582,28,
chargeback,60528,27,
withdrawal,46859,30,1697.5521
dispute,35005,22,
deposit,11740,31,8405.5381
chargeback,2243,8,
chargeback,54444,16,
dispute,1,2,10.0
deposit,32592,32,9304.5051
resolve,32592,32,
deposit,23236,33,1627.11076082
dispute,32592,32,
resolve,54444,16,
dispute,60528,27,
resolve,46859,30,
deposit,49482,34,5083.8532860
resolve,23236,33,
deposit,17185,35,9224.413381
deposit,24762,36,6358.4207649
chargeback,2243,8,
chargeback,35005,22,
deposit,20950,37,7747.847694
dispute,58612,24,
chargeback,7721,21,
withdrawal,4150,38,764.0006
dispute,54444,16,
resolve,38195,29,
dispute,28114,9,
chargeback,40490,26,
resolve,32592,32,
deposit,40273,39,3588.69756626
resolve,23236,33,
deposit,5237,40,6097.44216254
resolve,40490,26,
deposit,56707,41,4828.8457322
resolve,7721,21,
chargeback,37340,5,
deposit,36235,42,8438.12113638
chargeback,23236,33,
dispute,17185,35,
resolve,56707,41,
chargeback,58612,24,
dispute,23236,33,
deposit,24117,43,6403.12
withdrawal,34705,44,5572.052601
resolve,58612,24,
chargeback,36235,42,
deposit,40537,45,6030.93699
dispute,57148,6,
chargeback,2243,8,
resolve,34705,44,
dispute,36496,15,
withdrawal,32975,46,1438.27888
withdrawal,56865,47,9941.712600
deposit,58700,48,9961.9872
resolve,32975,46,
withdrawal,4004,49,9509.8351266
dispute,12461,11,
deposit,45859,50,3404.9098
deposit,50098,51,4909.3334
resolve,1879,20,
deposit,54056,52,2585.275
dispute,12451,19,
withdrawal,50949,53,6747.68120887
withdrawal,28260,54,9310.6189
chargeback,12451,19,
chargeback,54056,52,
deposit,57694,55,3234.432458
chargeback,35005,22,
chargeback,24117,43,
deposit,40928,56,868.20193946
dispute,40537,45,
dispute,54056,52,
resolve,40490,26,
deposit,7361,57,462.32782
resolve,40490,26,
